P,N,E,Z
10000,2194845.471,6214460.453,634.315
10002,2194856.612,6214474.505,634.359
10003,2194877.13,6214489.905,634.389
10004,2194895.6,6214508.014,634.226
10006,2194915.208,6214523.6,633.802
10008,2194938.177,6214561.349,633.312
10009,2194952.686,6214594.704,633.4
10011,2194979.924,6214667.108,633.254
10013,2194988.473,6214708.419,633.148
10014,2194990.952,6214739.002,633.11
10016,2195003.182,6214771.708,633.045
10018,2195004.496,6214854.937,632.989
10019,2195003.949,6214885.301,632.752
10021,2195015.887,6214933.245,632.371
10022,2195034.043,6215092.288,631.974
10024,2195033.236,6215162.006,631.923
10026,2195014.562,6215212.93,631.502
10028,2194989.18,6215253.195,631.314
10030,2194966.748,6215294.179,631.231
10031,2194952.638,6215317.983,631.147
10033,2194912.417,6215406.178,630.964
10036,2194907.246,6215426.138,631.176
10037,2194912.257,6215456.062,630.407
10039,2194897.407,6215490.973,629.786
10040,2194906.624,6215498.774,629.416
10041,2194915.782,6215475.745,630.207
10042,2194915.737,6215475.715,630.212
10043,2194887.339,6215454.338,630.316
10045,2194884.247,6215499.352,629.274
10047,2194885.774,6215541.038,628.709
10048,2194874.401,6215573.002,628.616
10050,2194868.038,6215630.646,628.474
10052,2194859.952,6215659.831,628.397
10055,2194800.137,6215772.311,628.102
10056,2194766.216,6215807.02,627.871
10058,2194741.394,6215856.614,627.749
10060,2194708.256,6215912.968,627.678
10063,2194671.209,6216020.68,627.413
10064,2194656.935,6216037.035,627.298
10066,2194644.184,6216087.121,627.215
10067,2194633.328,6216107.545,627.346
10068,2194605.745,6216169.188,626.949
10071,2194609.897,6216187.577,627.012
10072,2194593.074,6216189.527,627.073
10074,2194584.224,6216264.421,627.041
10075,2194579.452,6216304.784,627.126
10077,2194573.106,6216328.65,626.87
10080,2194579.247,6216383.929,626.857
10081,2194556.149,6216381.349,626.676
10083,2194555.301,6216414.942,626.689
10085,2194562.981,6216470.215,626.784
10087,2194565.643,6216523.407,626.724
10089,2194541.231,6216589.522,626.577
10091,2194530.858,6216636.934,626.736
10093,2194546.286,6216686.812,626.706
10094,2194535.22,6216742.284,626.572
10096,2194522.25,6216787.938,626.51
10100,2194547.18,6216886.492,625.22
10101,2194595.694,6216951.178,624.275
10103,2194606.755,6216979.03,623.759
10104,2194599.474,6217025.273,623.666
10106,2194578.741,6217071.651,623.606
10107,2194567.025,6217089.346,623.512
10109,2194567.303,6217148.076,622.861
10111,2194492.228,6217311.672,621.606
10113,2194478.018,6217334.122,621.366
10115,2194451.373,6217371.527,621.021
10117,2194415.848,6217439.689,620.948
10119,2194380.886,6217493.587,620.834
10121,2194382.521,6217565.006,620.713
10123,2194331.283,6217646.821,620.445
10125,2194317.924,6217681.324,620.377
10126,2194290.424,6217696.481,620.216
10128,2194273.168,6217747.908,620.221
10129,2194245.601,6217794.548,620.184
10131,2194217.141,6217813.726,620.003
10133,2194179.953,6217919.758,619.537
10136,2194165.824,6217986.319,619.461
10137,2194155.172,6217998.925,619.411
10140,2194087.291,6218060.633,619.307
10143,2194025.141,6218135.595,619.256
10144,2193997.409,6218170.64,619.247
10146,2193976.005,6218201.536,619.258
10148,2193947.984,6218222.189,619.088
10149,2193937.927,6218272.094,618.287
10151,2193921.867,6218288.703,618.341
10152,2193905.205,6218310.77,618.135
10154,2193874.163,6218349.712,617.993
10156,2193849.448,6218380.774,617.802
10159,2193805.77,6218450.944,617.888
10160,2193779.678,6218477.532,617.778
10163,2193722.985,6218529.507,617.728
10164,2193639.931,6218631.475,617.796
10166,2193605.565,6218658.807,617.744
